"";"Ime";"Drzava.izvora";"Barva"
"793";"Trepat";"Spain, Conca de Barbera (DO)";"Rdeca"
"794";"Trevisana nera";"Italy, Veneto";"Rdeca"
"795";"Trincadeira/ Castelao / Torneiro";"Portugal, Alentejo wine";"Rdeca"
"796";"Usakhelauri";"Georgia, Racha-Lechkhumi and Kvemo Svaneti";"Rdeca"
"797";"Uva di Troia /Nero di Troia/ Sumarello/ Uva di Canosa/ Uva di Barletta/ Troiano/ Tranese / Uva della Marina.";"Italy, Apulia";"Rdeca"
"798";"Uvalino";"Italy, Piedmont";"Rdeca"
"799";"Uva Rara";"Italy, Piedmont and Lombardy";"Rdeca"
"800";"Uva Tosca";"Italy, Emilia-Romagna";"Rdeca"
"801";"Vaccarese / Vaccarese/ Brun Argenté";"France, Rhone";"Rdeca"
"802";"Valdiguié / Brocol / Napa Gamay / Gamay 15";"France, Languedoc-Roussillon";"Rdeca"
"803";"Valentino nero";"Italy, Piedmont";"Rdeca"
"804";"Vermentino nero";"Italy, Tuscany";"Rdeca"
"805";"Vespolina";"Italy, Piedmont";"Rdeca"
"806";"Vien de Nus";"Italy, Valle d'Aosta DOC";"Rdeca"
"807";"Volidza/Volitsa";"Greece, high altitudes in the Peloponnese region";"Rdeca"
"808";"Vranac";"Montenegro";"Rdeca"
"809";"Vuillermin";"Italy, Aosta Valley";"Rdeca"
"810";"Wildbacher/Blauer Wildbacher";"Austria";"Rdeca"
"811";"Wrothham Pinot";"France";"Rdeca"
"812";"Xinomavro";"Greece, Central Macedonia";"Rdeca"
"813";"Žametovka";"Slovenia";"Rdeca"
"814";"Zinfandel / Crljenak Kaštelanski / Primitivo";"Croatia";"Rdeca"
"815";"Zweigelt / Zweigeltrebe / Rotburger";"Austria";"Rdeca"
